date,auteur,titre,fabula
1811,françois rene de chateaubriand,oeuvres completes,True
1812,paul de kock,l enfant de ma femme,False
1815,sophie gay,anatole,False
1815,sophie gay,anatole,False
1816,hadot marie adelaide barthelemy,la vierge de l indostan ou les portugais au malabar,False
1816,hadot marie adelaide barthelemy,la vierge de l indostan ou les portugais au malabar,False
1816,hadot marie adelaide barthelemy,la vierge de l indostan ou les portugais au malabar,False
1816,malarme charlotte de bournon,lancelot montagu ou le resultat des bonnes fortunes,False
1816,malarme charlotte de bournon,lancelot montagu ou le resultat des bonnes fortunes,False
1816,malarme charlotte de bournon,lancelot montagu ou le resultat des bonnes fortunes,False
1816,benjamin constant,adolphe,True
1817,hadot marie adelaide barthelemy,les venitiens ou le capitaine français,False
1817,hadot marie adelaide barthelemy,les venitiens ou le capitaine français,False
1817,hadot marie adelaide barthelemy,les venitiens ou le capitaine français,False
1819,hadot marie adelaide barthelemy,laurence de sully ou l ermitage en suisse,False
1819,hadot marie adelaide barthelemy,laurence de sully ou l ermitage en suisse,False
1819,hadot marie adelaide barthelemy,laurence de sully ou l ermitage en suisse,False
1821,charles victor arlincourt,le solitaire,False
1822,charles victor arlincourt,le renégat,False
1822,charles victor arlincourt,le renégat,False
1822,victor hugo,han d islande,True
1823,claire de durfort duras,ourika,True
1824,d hautpoul anne marie de beaufort,le page et la romance,False
1824,d hautpoul beaufort,le page et la romance,False
1824,du heaume hippolyte mazier,voyage d un jeune grec a paris,False
1824,du heaume hippolyte mazier,voyage d un jeune grec a paris,False
1825,lamothe langon etienne leon de,le monastere des freres noirs,False
1825,claire de duras,edouard,True
1826,j f t. ginouvier,gustave et aspais ou les victimes des prejuges de l epoque,False
1826,j f t. ginouvier,gustave et aspais ou les victimes des prejuges de l epoque,False
1826,j f t. ginouvier,gustave et aspais ou les victimes des prejuges de l epoque,False
1826,paul de kock,andre le savoyard,False
1827,inconnu,le rocher,False
1827,jules janin,l ane mort et la femme guillotinee,False
1827,stendhal,armance,True
1827,eugene françois vidocq,memoires de vidocq,False
1827,eugene françois vidocq,memoires de vidocq,False
1827,eugene françois vidocq,memoires de vidocq,False
1827,eugene françois vidocq,memoires de vidocq,False
1827,alfred de vigny,cinq mars,True
1828,paul de kock,jean,False
1829,astolphe de custine,aloys ou le religieux du mont saint bernard,False
1829,theodore giberton,la fille du vieux chanteur,False
1829,victor hugo,le dernier jour d un condamne,True
1829,prosper merimee,mateo falcone,True
1829,prosper merimee,tamango,True
1830,prosper merimee,la partie de trictrac,True
1830,stendhal,le rouge et le noir,True
1830,eugene sue,kernok le pirate,True
1831,honore de balzac,la peau de chagrin ed gosselin,True
1831,d aurevilly jules barbey,le cachet d onyx,True
1831,victor hugo,notre dame de paris,True
1831,victor hugo,notre dame de paris,True
1831,mme ha dges montovar,aslega,False
1831,alphonse macaire stanislas signol,le chiffonnier,False
1831,alphonse macaire stanislas signol,le chiffonnier,False
1831,alphonse macaire stanislas signol,le chiffonnier,False
1831,alphonse macaire stanislas signol,le chiffonnier,False
1831,alphonse macaire stanislas signol,le chiffonnier,False
1831,eugene sue,atar gull,True
1832,edouard corbiere,les pilotes de l iroise,False
1832,ernest desprez,un enfant,False
1832,ernest desprez,un enfant,False
1832,ernest desprez,un enfant,False
1832,alphonse karr,sous les tilleuls,False
1832,elisabeth brossin de mere,le parc aux cerfs ou histoire secrete des jeunes demoiselles qui y ont ete renfermees,False
1832,elisabeth brossin de mere,le parc aux cerfs ou histoire secrete des jeunes demoiselles qui y ont ete renfermees,False
