auteur,nb_romans
honore de balzac,19
emile zola,17
romain rolland,10
de maupassant guy,10
alexandre dumas,8
victor hugo,8
françois rene de chateaubriand,7
colette,5
jules verne,4
alphonse daudet,4
george sand,4
stendhal,4
albert camus,4
d aurevilly jules barbey,3
louis aragon,3
patrick modiano,3
gustave flaubert,3
jean giono,3
michel tournier,3
romain gary,2
maurice leblanc,2
claude farrere,2
michel deon,2
edmond et jules de goncourt,2
georges perec,2
jean echenoz,2
simone de beauvoir,2
georges bernanos,2
nathalie sarraute,2
joris karl huysmans,2
exupery antoine de saint,2
andre malraux,2
jules renard,2
pierre michon,2
beuve sainte,2
edmond de goncourt jules de goncourt,2
marguerite duras,2
laurent gaude,2
marguerite yourcenar,2
maylis de kerangal,2
andre gide,2
claude simon,2
joseph kessel,2
jules valles,2
grillet alain robbe,2
henri barbusse,2
theophile gautier,2
mathias enard,1
raymond queneau,1
marcel pagnol,1
frederic beigbeder,1
antoine volodine,1
emile moselly,1
delphine de vigan,1
vigan delphine de,1
tarbe des sablons mme,1
octave mirbeau,1
henri murger,1
patrick deville,1
alphonse de chateaubriant,1
philippe grimbert,1
jean christophe rufin,1
jules  verne,1
paul fils feval,1
clezio jean marie gustave le,1
diaye marie n,1
felicien marceau,1
eugene ionesco,1
henry bauchau,1
henry bordeaux,1
paul feval,1
olivier rolin,1
fournier alain,1
leon bloy,1
raymond radiguet,1
pierre combescot,1
magali,1
julien gracq,1
louis ferdinand celine,1
benjamin constant,1
georges rodenbach,1
philippe claudel,1
comtesse de segur,1
michel leiris,1
marie cardinal,1
cesarie farrenc,1
emmanuel carrere,1
erik orsenna,1
albert cohen,1
marc dugain,1
christian gailly,1
jean philippe toussaint,1
samuel beckett,1
pascal laine,1
delly,1
marie darrieussecq,1
charles victor arlincourt,1
michel houellebecq,1
louis pergaud,1
eugene fromentin,1
sylvie germain,1
alice zeniter,1
pierre loti,1
jacques laurent,1
didier daeninckx,1
paul verlaine,1
roger vercel,1
georges duhamel,1
pascal quignard,1
marie nimier,1
marcel proust,1
emile gary romain ajar,1
marcel schwob,1
pierre benoit,1
maurice genevoix,1
jean rolin,1
alfred de musset,1
alfred de vigny,1
nina bouraoui,1
paul nizan,1
mathieu riboulet,1
francois mauriac,1
louise michel,1
comte de lautreamont,1
marguerite audoux,1
catherine cusset,1
annie ernaux,1
alice ferney,1
chatrian erckmann,1
paule constant,1
