auteur,nb_roman
delly,95
antonio san,90
alexandre dumas,88
honore de balzac,85
georges simenon,80
paul feval,59
george sand,51
maurice leblanc,33
gaston leroux,32
henry greville,32
pierre loti,31
du terrail pierre ponson,29
jules verne,28
michel zevaco,27
max du veuzit,27
eugene sue,26
emile zola,22
alphonse daudet,21
patrick modiano,21
didier daeninckx,21
de maupassant guy,21
pierre bergounioux,20
chatrian erckmann,20
emile gaboriau,19
rene bazin,18
colette,18
anatole france,18
amelie nothomb,17
hector malot,17
rouge gustave le,16
richard millet,16
paul bourget,16
jean echenoz,16
fortune du boisgobey,14
gustave aimard,14
julie gouraud,14
daniel lesueur,14
arsene houssaye,14
alphonse allais,13
louis ulbach,13
victor hugo,12
romain rolland,12
pascal quignard,12
du terrail pierre alexis de ponson,12
michel tournier,11
h emile chevalier,11
paul d  ivoi,11
claude simon,11
comtesse de segur,11
fred vargas,10
rene boylesve,10
christian gailly,10
andre gide,10
joris karl huysmans,10
georges perec,10
marguerite yourcenar,9
a.d.g.,9
jules lermina,9
antoine volodine,9
alphonse karr,9
henry de montherlant,9
hadot marie adelaide barthelemy,9
romain gary,9
emile souvestre,8
annie ernaux,8
marie darrieussecq,8
du gard roger martin,8
marguerite duras,8
henriette de witt,8
boris vian,8
françoise sagan,8
guillaume musso,8
olivier rolin,8
d aurevilly jules barbey,8
georges bernanos,8
jean christophe grange,8
sylvie germain,8
marcel proust,7
gustave flaubert,7
simone de beauvoir,7
zenaide fleuriot,7
nina bouraoui,7
eugene chavette,7
françois rene de chateaubriand,7
alfred assollant,7
louis aragon,7
camille lemonnier,7
charles victor arlincourt,7
elie berthet,7
stendhal,7
alexis bouvier,7
henri calet,7
marcel pagnol,7
jules claretie,7
philippe djian,7
octave feuillet,6
thierry jonquet,6
jean giono,6
grillet alain robbe,6
rene barjavel,6
andre theuriet,6
aine j h rosny,6
jest rene de pont,6
madame de stolz,6
theophile gautier,6
maurice barres,6
jean rouaud,6
marguerite audoux,6
inconnu,6
nathalie sarraute,6
adolphe belot,6
marie aude murail,6
jacques laurent,6
emmanuel carrere,6
paul fils feval,6
louis noir,6
pierre zaccone,6
alice ferney,6
prosper merimee,6
pierre jourde,6
christine angot,6
pierre michon,6
victor cherbuliez,6
georges ohnet,6
marcel bealu,5
charles buet,5
michel houellebecq,5
emile richebourg,5
françois begaudeau,5
marcel dhanys,5
frederic beigbeder,5
marc villard,5
jules mary,5
louis hemon,5
edouard corbiere,5
rené crevel,5
henri troyat,5
octave mirbeau,5
georges duhamel,5
claude farrere,5
amedee achard,5
narcejac boileau,5
irene nemirovsky,5
joseph kessel,5
maurice renard,5
maylis de kerangal,5
pierre lemaitre,5
alphonse macaire stanislas signol,5
arnould galopin,5
david foenkinos,4
eric chevillard,4
paul verlaine,4
emile gary romain ajar,4
jules renard,4
paul de kock,4
jules valles,4
ernest daudet,4
françois mauriac,4
raymond queneau,4
paul morand,4
georges darien,4
albert delpit,4
pierre louÿs,4
louis reybaud,4
laurent gaude,4
elisabeth brossin de mere,4
leopold stapleaux,4
samuel beckett,4
georges eekhoud,4
edmond about,4
judith gautier,4
albert simonin,4
anna gavalda,4
fernand vanderem,4
charles merouvel,4
philippe claudel,4
christelle dabos,4
paul adam,4
magali,4
roger dombre,4
raoul de navery,4
josephine colomb,4
stella blandy,4
jacques jouet,4
philippe forest,4
leon gozlan,4
edmond de goncourt jules de goncourt,4
pierre mael,4
exupery antoine de saint,4
sophie gay,4
mathias enard,4
raymond roussel,4
albert camus,4
henry bauchau,4
louis ferdinand celine,4
eugene françois vidocq,4
mathieu riboulet,4
olivier adam,4
jean rolin,4
andre laurie,4
clezio jean marie gustave le,4
elise de pressense,4
paul sauniere,4
panait istrati,4
gustave auriac jules berlioz d aimard,4
paul de musset,4
h de le faure georges graffigny,4
auguste maquet,3
jean aicard,3
joseph marmette,3
valery larbaud,3
du faouedic noemie dondel,3
michel deon,3
raymond radiguet,3
leo malet,3
alfred de brehat,3
michel corday,3
andre malraux,3
catherine millet,3
henri riviere,3
gabriel ferry,3
armand de pontmartin,3
malarme charlotte de bournon,3
andre dhotel,3
mathilde alanic,3
julien gracq,3
catherine woillez,3
charlotte delbo,3
oscar metenier,3
christian oster,3
alfred de vigny,3
agota kristof,3
ernest d  hervilly,3
georges courteline,3
edmond et jules de goncourt,3
louis pergaud,3
paul nizan,3
camille debans,3
j f t. ginouvier,3
epine ernest l,3
gustave toudouze,3
edouard cadol,3
claude vignon,3
xavier de montepin,3
françoise chandernagor,3
paul perret,3
pierre siniac,3
alain damasio,3
paul jean toulet,3
jean christophe rufin,3
jean giraudoux,3
olga de segur pitray,3
ernest desprez,3
gerard de nerval,3
leon bloy,3
vigan delphine de,3
guillaume apollinaire,3
charles deslys,3
louis dumur,3
arthur bernede,3
francisque sarcey,3
gustave auriac jules berlioz d  aimard,3
albert cim,3
aristide de gondrecourt,3
aurelien scholl,3
antoine blondin,3
rachilde,3
paul mahalin,3
orlan pierre mac,3
julien green,3
zulma tourangin mme carraud,3
virginie despentes,3
mme soboleska,3
paul arene,3
honore beaugrand,3
henry bordeaux,3
eugene melchior de vogue,2
de l isle adam auguste villiers,2
roy eugene le,2
jean philippe toussaint,2
claro,2
marie marechal,2
victor margueritte,2
henri barbusse,2
alphonse de chateaubriant,2
victor segalen,2
jules noriac,2
pierre benoit,2
catherine cusset,2
de la giraudiere hippolyte de chavannes,2
rene du mesnil maricourt,2
mlle de martignat,2
armand silvestre,2
georges rodenbach,2
jules de gastyne,2
alexis rousset,2
leon cladel,2
edmond jaloux,2
magdeleine du genestoux,2
adrien robert,2
marcel prevost,2
rene maizeroy,2
brete jean de la,2
de cesena amedee gayet,2
maurice level,2
emile moselly,2
emmanuel denoy,2
ernest capendu,2
leon de tinseau,2
xavier eyma,2
comtesse de dash,2
pamphile lemay,2
charles de guise,2
du heaume hippolyte mazier,2
forets rene louis des,2
alphonse de lamartine,2
ferdinand fabre,2
linda le,2
villiers gerard de,2
remy de gourmont,2
landelle guillaume joseph gabriel de la,2
emmanuel bove,2
antoinette dupin,2
tanguy viel,2
de plancy jacques collin,2
charles d  hericault,2
jules  verne,2
t. igonette,2
jules  verne,2
camille laurens,2
marc monnier,2
charles barbara,2
ecuyer eugene l,2
joseph lallier,2
eliette abecassis,2
jules fournier,2
milan kundera,2
jeanne france,2
nicolas mathieu,2
adolphe badin,2
fanny villars,2
gyp,2
rieder charlotte chabrier,2
anais de bassanville,2
jenny bastide,2
beuve sainte,2
louis guilloux,2
